,expr,index,best_mse_loss,best_scaled_mse_loss
0,((i1 + i0) * i2),0,0.0417214222252368,0.0002717176394071
1,((exp(-square((i0 * square(i2))) + 3.0) * -5.0) - (-3.0 + i1)),1,2.538141250610352,0.0020688697695732
2,(log(square((i2 * 3.0)) + 3.0) * log(5.0)),2,0.0023245010524988,0.0004487441328819
3,(i2 * cos(i0)),3,0.0115715954452753,0.002292223740369
4,((-0.0 * i2) + (i0 * i2)),4,0.0436724610626697,0.0005601712618954
5,((i0 * (-2.0 - i2)) / (-square(i1) + -1.0)),5,0.0553356111049652,0.002411974593997
6,(i1 / (-square((3.0 + i2)) + -2.0)),6,8.239338058046997e-05,0.0002385621191933
7,(-2.0 * i2),7,1.2056833838869352e-05,2.853433613836387e-07
8,(4.0 - (i2 * -6.0)),8,0.0001165875655715,3.2349069556403265e-07
9,(i2 - i0),9,4.07767129217973e-06,2.442442621486407e-07
10,(3.0 - (i2 + 3.0)),10,3.1473782655666582e-06,3.592436428334622e-07
11,(i0 - i1),11,8.598597560194321e-06,4.961784725310281e-07
12,(i2 * (i1 + i0)),12,0.047803558409214,0.000368350505596
13,(sqrt((square(i0) + 1.0)) - (sin(sin(i0) * sqrt((square(i1) + 2.0))) - (i1 - i2))),13,0.1646058559417724,0.0090727265924215
14,((i2 + i1) + (exp((-square(i0) + 3.0)) + 4.0)),14,0.006650136783719,0.0001200643237098
15,(sin(cos(i1) * (2.0 * (-1.0 + 2.0))) - (((cos(i1) * i2) * i2) - square(i0))),15,5.141574859619141,0.0210975054651498
16,(6.0 + (i0 + i2)),16,4.116121272090823e-05,2.455547928548185e-06
17,(square(i2) + ((log(1.0) + square(i1)) + square(i0))),17,0.4773625135421753,0.0009751408942975
18,(i1 * i0),18,0.0321704037487506,0.0004482869408093
19,(i2 - i0),19,4.289646767574595e-06,2.3541548443972718e-07
20,sin(cos(i0) - i2),20,0.0091001084074378,0.0181928649544715
21,((i0 + square(i1 + i0)) + i2),21,0.0343943536281585,8.29832861199975e-05
22,(i2 + exp(1.0)),22,1.529938708699774e-05,1.4774208239032305e-06
23,(-1.0 * sin(i1)),23,8.657384023535997e-05,0.0001795932039385
24,(i2 + sqrt((square(i0) + 3.0))),24,0.0004169735475443,3.606538666645065e-05
25,(i2 * (log(square(((square(-5.0) + 3.0) / (-square(i1) + -2.0))) + 1.0) - (sin(3.0) * i0))),25,0.0616711229085922,0.0005524524021893
26,square(i0 - (i1 * 2.0)),26,0.0326852425932884,1.141736993304221e-05
27,(i2 * -2.0),27,2.314124867552892e-05,6.379755177476909e-07
28,(sqrt((square(i2) + 1.0)) + i0),28,0.0002437464136164,2.239536479464732e-05
29,square(-1.0 - square(i0)),29,163.2589569091797,0.0003464788023848
30,((cos(i2 + i1) * 1.0) * 2.0),30,0.004300863482058,0.0021699250210076
31,sqrt(square(((i0 + (1.0 * cos(i2))) / (square(exp(-square((i1 * exp((-square(i2) + 4.0)))) + 3.0)) + 2.0))) + 2.0),31,0.0050553260371088,0.0184323843568563
32,(i2 + i0),32,5.244102794677019e-06,2.539386230182572e-07
33,(((cos(1.0) + log((square(i2) + 1.0))) * 4.0) * i0),33,0.3793675899505615,0.0004751711094286
34,(i2 * (4.0 / (square(i1) + 4.0))),34,0.0007772932876832,0.0002799824869725
35,(square(i0) + log(square((sqrt(6.0) * sin(i1))) + 1.0)),35,0.431273341178894,0.0031497781164944
36,((sqrt(square((-1.0 - i2)) + 1.0) - (i1 - cos(i0))) * i0),36,0.7430397868156433,0.0058186240494251
37,(((log((square(i1) + 1.0)) + i0) / (square(i2) + 3.0)) - cos(-1.0)),37,0.0002014407073147,0.0004926852998323
38,(-5.0 * i2),38,9.35941789066419e-05,3.677299389437394e-07
39,((square(6.0) - i2) + 1.0),39,1.646434611757286e-05,1.859581857388548e-06
40,(((2.0 - log((square(i1) + 2.0))) / (square(sqrt((square(i2) + 1.0))) + 2.0)) - ((i0 * square(-5.0)) / 1.0)),40,0.0148818464949727,3.3462301871622917e-06
41,sin(sqrt((square(i0) + 4.0)) + 6.0),41,0.0003222743398509,0.0006787052261643
42,(i1 / (square((-5.0 - sin(i0))) + 1.0)),42,1.2540212082967628e-05,0.0008872583857737
43,(i2 * i1),43,0.058783333748579,0.0006017432897351
44,(i0 * (4.0 - i2)),44,0.1338923573493957,0.0006132467533461
