,expr,index,best_mse_loss,best_scaled_mse_loss
0,((i0 - i2) + i1),0,9.485980990575626e-05,3.2339551125915023e-06
1,(i1 * (i2 * i0)),1,10.115690231323242,0.0231633093208074
2,(i1 * i0),2,0.0428090244531631,0.0004812506085727
3,(i1 - i2),3,9.758234227774663e-05,5.549217348743696e-06
4,(i2 - i1),4,9.652163862483576e-05,5.5438149502151646e-06
5,(i2 - i0),5,9.890216460917144e-05,5.141530436958419e-06
6,(i2 + i0),6,9.478676656726748e-05,4.541266662272392e-06
7,i2,7,9.938854054780676e-05,1.0035736522695515e-05
8,(i1 - (i0 * i2)),8,0.0577713549137115,0.0006562216440215
9,(i1 - i2),9,9.69240500126034e-05,4.999692919227528e-06
10,(i0 * i2),10,0.0368188507854938,0.0004452592693269
11,((i1 - i0) + i2),11,9.840400889515875e-05,3.576004473870853e-06
12,((i1 - i0) * i2),12,0.0661939978599548,0.0004360001184977
13,(i2 + i0),13,9.801873966353014e-05,6.1198679759399965e-06
14,((i1 * i2) + i0),14,0.0283746533095836,0.0004121342499274
15,(i1 + i0),15,9.482429595664144e-05,5.15464807904209e-06
16,(i0 - i2),16,9.952036634786054e-05,5.74737214265042e-06
17,((i1 + i0) * i2),17,0.0823781937360763,0.0008131379727274
18,((i2 + i1) * i0),18,0.0484298467636108,0.0003110993420705
19,(i2 * i1),19,0.0337017923593521,0.0004723823221866
20,(i1 + i0),20,9.019081335281952e-05,4.859246928390348e-06
21,(i2 + i1),21,9.706133278086782e-05,5.255926225800067e-06
22,(i1 - (i0 + i2)),22,9.690202568890528e-05,4.0417726268060505e-06
23,((i2 + i0) * i1),23,0.0741418004035949,0.000409999222029
24,((i0 - i2) + i1),24,9.545008651912212e-05,2.973780283355154e-06
25,(i1 * i2),25,0.0327229499816894,0.0004743459867313
26,(i2 * i1),26,0.0816369205713272,0.0009620118071325
27,(i1 - i0),27,9.836348908720538e-05,6.327040409814799e-06
28,((i1 * i0) * i2),28,6.501665115356445,0.0109552228823304
29,(i1 - i0),29,9.329459862783553e-05,4.742526471090969e-06
30,(i1 - (i2 * i0)),30,0.0627911388874054,0.0006868393393233
31,(i1 - i0),31,9.833851072471587e-05,5.278272510622628e-06
32,(i1 - i2),32,9.78260868578218e-05,5.558509201364359e-06
33,(i0 - i2),33,9.96474627754651e-05,4.626576355803991e-06
34,(i2 * i1),34,0.0330180451273918,0.0003764419525396
35,(i0 * i2),35,0.0256525855511426,0.000348491128534
36,(i1 - i2),36,9.927344945026562e-05,5.223837433732115e-06
37,(i0 + i1),37,9.7210708190687e-05,5.575140221480979e-06
38,(i2 - i0),38,9.7525684395805e-05,5.647423677146435e-06
39,(i2 + i1),39,9.615315502742304e-05,6.126303105702391e-06
40,((i0 + i1) * i2),40,0.0811361074447631,0.000528433069121
41,(i0 - (i1 + i2)),41,9.554206189932302e-05,3.81656445824774e-06
42,(i1 + i2),42,9.744567796587944e-05,5.491942829394247e-06
43,(i0 * (i2 * i1)),43,8.026348114013672,0.0075873462483286
44,(i0 * (i2 + i1)),44,0.0798029080033302,0.0004858348402194
45,(i1 + i0),45,9.766733273863792e-05,4.956858902005479e-06
