,expr,index,best_mse_loss,best_scaled_mse_loss
0,-(i0 + i1),0,9.896393748931588e-05,5.524366315512452e-06
1,(i1 - i0),1,9.90094558801502e-05,5.268185759632615e-06
2,(i1 - i0),2,9.943658369593322e-05,5.065631285106065e-06
3,(i0 + i1),3,9.93040157482028e-05,5.788066118839197e-06
4,-(i0 + i1),4,9.884587780106811e-05,4.723973233922152e-06
5,(i0 - i1),5,9.935678099282086e-05,5.909183528274298e-06
6,i1,6,9.915509872371332e-05,9.81461471383227e-06
7,-(i0 + i1),7,9.942481119651347e-05,4.830156740354141e-06
8,-i0,8,9.868998313322665e-05,1.148952742369147e-05
9,-i0,9,9.647240221966058e-05,1.135136881202925e-05
10,i1,10,9.748611046234146e-05,1.0506136277399492e-05
11,-i0,11,9.894883260130882e-05,1.2456490367185324e-05
12,(i0 + i1),12,9.775857324711978e-05,5.1502966016414575e-06
13,-i0,13,9.949127706931904e-05,1.2059810615028256e-05
14,i0,14,9.768536256160588e-05,1.2006135875708424e-05
15,i0,15,9.998871246352792e-05,1.214830899698427e-05
16,-i0,16,9.997394226957113e-05,1.2940994565724395e-05
17,(i0 - i1),17,9.80941840680316e-05,5.183798293728614e-06
18,(i0 + i1),18,9.900651639327408e-05,5.111312020744663e-06
19,(i1 - i0),19,9.986008808482438e-05,5.459542080643587e-06
20,(i0 - i1),20,9.857755503617228e-05,5.490688636200503e-06
21,i1,21,9.926157508743928e-05,1.1226820788579062e-05
22,(i1 - i0),22,9.961935575120152e-05,6.054522145859664e-06
23,-i1,23,9.94019937934354e-05,1.0223686331300996e-05
24,(i0 + i1),24,9.962526382878424e-05,6.271230631682556e-06
25,i0,25,9.942469478119163e-05,1.3347473213798366e-05
26,(i1 - i0),26,9.986612712964416e-05,5.55861242901301e-06
27,(i0 - i1),27,9.877273987513036e-05,5.619446255877847e-06
28,(i0 - i1),28,9.773679630598052e-05,6.509574632218573e-06
29,i0,29,9.99814656097442e-05,1.0654413017618936e-05
30,-i1,30,9.89132167887874e-05,1.1889122106367722e-05
31,-i1,31,9.89389227470383e-05,1.0625863069435582e-05
32,i1,32,9.727233555167912e-05,1.1137810361105949e-05
33,-i1,33,9.756044892128556e-05,1.0108796232088936e-05
34,-(i0 + i1),34,9.972236875910312e-05,6.233024578250479e-06
35,i1,35,9.98336327029392e-05,1.255277675227262e-05
36,-i0,36,9.995666187023744e-05,1.140167296398431e-05
37,-i0,37,9.999421308748424e-05,1.1405128134356346e-05
38,-i0,38,9.861615399131551e-05,1.0823105185409077e-05
39,-(i0 + i1),39,9.934189438354224e-05,4.849075594393071e-06
40,(i0 + i1),40,9.959971066564322e-05,5.512597454071511e-06
41,-i1,41,9.881012374535204e-05,1.1585888387344312e-05
42,-(i0 + i1),42,9.966211655410008e-05,5.8288815125706606e-06
43,i0,43,9.98497853288427e-05,1.1023523256881164e-05
44,(i0 + i1),44,9.977737499866636e-05,5.140023404237581e-06
45,-i1,45,9.611871792003512e-05,1.3560337720264217e-05
46,i1,46,9.989393583964556e-05,1.080177207768429e-05
47,i1,47,9.937975846696644e-05,1.1340340279275551e-05
48,-i0,48,9.910798689816148e-05,1.1750464182114229e-05
49,(i1 - i0),49,9.872540249489248e-05,4.943216481478885e-06
50,(i0 + i1),50,9.68561362242326e-05,5.489756404131185e-06
51,-i1,51,9.689082799013704e-05,1.214867370435968e-05
52,-(i0 + i1),52,9.981780749512836e-05,5.793076525151264e-06
53,i1,53,9.998922905651852e-05,1.0356118764320854e-05
54,(i0 - i1),54,9.619281627237795e-05,5.580565357377054e-06
55,-(i0 + i1),55,9.916628914652392e-05,4.812994575331686e-06
56,(i0 - i1),56,9.94563743006438e-05,5.579831395152723e-06
57,(i0 - i1),57,9.85547449090518e-05,6.165011200209847e-06
58,(i0 + i1),58,9.997019515139982e-05,6.055087396816816e-06
59,(i0 - i1),59,9.74421709543094e-05,4.632335731002968e-06
60,-i0,60,9.985746874008328e-05,9.574800060363486e-06
61,-i1,61,9.991268598241732e-05,1.1607542546698824e-05
62,(i0 - i1),62,9.931049135047942e-05,5.266814696369693e-06
63,(i1 - i0),63,9.778260573511945e-05,5.880208846065216e-06
64,i1,64,9.889442299026996e-05,1.1079640898969956e-05
65,i0,65,9.958796727005392e-05,1.0352719982620329e-05
66,(i1 - i0),66,9.83943318715319e-05,6.004050192132127e-06
67,(i0 + i1),67,9.877391858026384e-05,5.921205683989683e-06
68,(i1 - i0),68,9.97889001155272e-05,5.789757324237144e-06
69,-(i0 + i1),69,9.88149258773774e-05,6.153318736323854e-06
70,(i1 - i0),70,9.768671588972212e-05,5.02953480463475e-06
71,(i0 + i1),71,9.918016439769416e-05,5.775990757683758e-06
72,i0,72,9.98034083750099e-05,1.2732760296785273e-05
73,(i0 + i1),73,9.644728561397642e-05,5.314035661285743e-06
74,(i0 - i1),74,9.987491648644208e-05,6.847516942798393e-06
75,i1,75,9.495024278294296e-05,1.1236603313591331e-05
76,-(i0 + i1),76,9.966213838197292e-05,5.1269335017423145e-06
77,-i1,77,9.947910439223052e-05,1.4102975001151208e-05
78,(i0 - i1),78,9.983743075281382e-05,5.08503035234753e-06
79,i1,79,9.909219807013868e-05,1.0567551726126112e-05
80,(i1 - i0),80,9.978385060094296e-05,5.449569016491296e-06
81,-i0,81,9.781936387298627e-05,1.123580204875907e-05
82,-i1,82,9.769809548743068e-05,1.0932478289760184e-05
83,(i0 - i1),83,9.977592708310112e-05,5.633228283841163e-06
84,-(i0 + i1),84,9.853809751803055e-05,6.479508101620013e-06
85,(i1 - i0),85,9.76152514340356e-05,5.173154022486415e-06
86,-i0,86,9.897304698824884e-05,1.0226412996416911e-05
87,-(i0 + i1),87,9.864791354630142e-05,5.592760771833127e-06
88,-(i0 + i1),88,9.858039993559942e-05,5.575002887781011e-06
89,-i0,89,9.79262767941691e-05,1.0436043339723255e-05
90,(i1 - i0),90,9.718282672110944e-05,5.228290319791995e-06
91,-i1,91,9.974220301955938e-05,1.145851729233982e-05
92,-i1,92,9.90331609500572e-05,1.0580776688584592e-05
93,(i1 - i0),93,9.902281453832984e-05,5.388854333432391e-06
94,i0,94,9.810533083509654e-05,1.169033203041181e-05
95,-i1,95,9.907651838148011e-05,1.0681125786504708e-05
96,(i1 - i0),96,9.870767826214431e-05,5.367947778722737e-06
97,(i1 - i0),97,9.960682655218989e-05,5.7661263781483285e-06
98,(i1 - i0),98,9.973233682103456e-05,5.458020496007521e-06
99,(i1 - i0),99,9.645079262554646e-05,6.534441126859747e-06
100,-(i0 + i1),100,9.992152627091856e-05,5.680670710717095e-06
101,(i1 - i0),101,9.991152182919905e-05,5.235193839325802e-06
102,i1,102,9.98705654637888e-05,1.0804313205881044e-05
103,i1,103,9.463274909649044e-05,1.2170380614406897e-05
104,-(i0 + i1),104,9.998909808928148e-05,5.908466846449301e-06
105,i0,105,9.901942394208164e-05,1.0093846867675891e-05
106,(i0 + i1),106,9.966312791220844e-05,6.384120297298068e-06
107,-i0,107,9.976871660910548e-05,1.0929584277619142e-05
108,(i1 - i0),108,9.771391341928393e-05,5.903615601710044e-06
109,i0,109,9.905894694384187e-05,1.15768534669769e-05
110,-i0,110,9.998900350183249e-05,1.2905853509437293e-05
111,i1,111,9.971260442398489e-05,1.1938335774175355e-05
112,-i1,112,9.670606959844008e-05,1.2017464541713709e-05
113,-i0,113,9.869375207927078e-05,1.2994244571018498e-05
114,(i0 - i1),114,9.959674935089424e-05,5.077686182630714e-06
115,(i0 - i1),115,9.79871692834422e-05,5.837346634507412e-06
116,-i0,116,9.876934927888216e-05,1.0328104508516844e-05
117,-(i0 + i1),117,9.828338079387322e-05,5.718099146179156e-06
118,(i0 - i1),118,9.825872257351877e-05,5.267203960102052e-06
119,i1,119,9.97353345155716e-05,1.0279099114995915e-05
120,(i1 - i0),120,9.84789221547544e-05,5.552830316446489e-06
121,i0,121,9.79497708613053e-05,1.0503074008738622e-05
122,-i0,122,9.748393495101482e-05,1.162094031315064e-05
123,-i0,123,9.93266949080862e-05,1.1227910363231786e-05
